Agency Type,Victim Sex,Victim Age,Victim Ethnicity,Perpetrator Sex,Perpetrator Ethnicity,Weapon Category,Relationship Category,Region,Season
Municipal Police,Male,35,Not Hispanic,Male,Not Hispanic,Non-Firearm,Stranger,South,Spring
Municipal Police,Male,40,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Municipal Police,Female,25,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Summer
Municipal Police,Male,82,Not Hispanic,Male,Not Hispanic,Non-Firearm,Family,South,Summer
Municipal Police,Female,42,Not Hispanic,Female,Not Hispanic,Non-Firearm,Acquaintance,South,Spring
Municipal Police,Male,38,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Sheriff,Male,38,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Autumn
Municipal Police,Female,27,Not Hispanic,Male,Not Hispanic,Firearm,Lover,South,Autumn
Sheriff,Female,65,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Winter
Municipal Police,Male,63,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Female,55,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Summer
Sheriff,Male,75,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,42,Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Winter
Sheriff,Male,17,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,67,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Summer
Municipal Police,Male,16,Hispanic,Male,Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,33,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Sheriff,Male,19,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Autumn
Sheriff,Male,59,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Sheriff,Female,47,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Sheriff,Female,7,Not Hispanic,Male,Not Hispanic,Firearm,Family,South,Summer
Sheriff,Female,20,Not Hispanic,Male,Not Hispanic,Non-Firearm,Lover,South,Winter
Sheriff,Female,17,Not Hispanic,Female,Not Hispanic,Firearm,Acquaintance,South,Summer
Sheriff,Male,43,Not Hispanic,Male,Not Hispanic,Firearm,Acquaintance,South,Spring
Municipal Police,Male,30,Not Hispanic,Male,Not Hispanic,Non-Firearm,Acquaintance,South,Winter
Municipal Police,Male,50,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Municipal Police,Female,24,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
Sheriff,Male,44,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Summer
Sheriff,Male,43,Not Hispanic,Male,Not Hispanic,Firearm,Stranger,South,Autumn
